nome,categoria,origem
Chocolate ao leite,Açúcares e doces,TBCA 7.2
Chocolate ao leite (Garoto),Açúcares e doces,TBCA 7.2
Chocolate ao leite (Lacta),Açúcares e doces,TBCA 7.2
Chocolate ao leite (Nestle),Açúcares e doces,TBCA 7.2
Chocolate ao leite (Neugebauer),Açúcares e doces,TBCA 7.2
Chocolate ao leite com amendoim,Açúcares e doces,TBCA 7.2
Chocolate ao leite com avelã,Açúcares e doces,TBCA 7.2
Chocolate ao leite com castanha do Brasil,Açúcares e doces,TBCA 7.2
Chocolate ao leite com mel e torrone de amêndoas (Toblerone),Açúcares e doces,TBCA 7.2
Chocolate ao leite Dupy (Neugebauer),Açúcares e doces,TBCA 7.2
Chocolate branco,Açúcares e doces,TBCA 7.2
Chocolate com recheio de manteiga de amendoim (Reese`s),Açúcares e doces,TBCA 7.2
Chocolate em pó,Açúcares e doces,TBCA 7.2
Chocolate em pó solúvel,Açúcares e doces,TBCA 7.2
Chocolate granulado,Açúcares e doces,TBCA 7.2
Chocolate meio amargo,Açúcares e doces,TBCA 7.2
Cobertura de chocolate para bolo,Açúcares e doces,TBCA 7.2
Cobertura de maracujá para bolo,Açúcares e doces,TBCA 7.2
Cocada branca,Açúcares e doces,TBCA 7.2
Crème brûlée,Açúcares e doces,TBCA 7.2
Delícia de abacaxi,Açúcares e doces,TBCA 7.2
Doce árabe Ataif de nozes com calda de laranja,Açúcares e doces,TBCA 7.2
Doce de abóbora cremoso,Açúcares e doces,TBCA 7.2
Doce de feijão azuki,Açúcares e doces,TBCA 7.2
Doce de leite cremoso,Açúcares e doces,TBCA 7.2
Doce de leite de lata (Moça),Açúcares e doces,TBCA 7.2
Doce de massa folhada com doce de leite e açúcar,Açúcares e doces,TBCA 7.2
Docinho olho de sogra caramelizado,Açúcares e doces,TBCA 7.2
Fios de ovos com calda de açúcar caseiro,Açúcares e doces,TBCA 7.2
Flan de baunilha em pó preparado,Açúcares e doces,TBCA 7.2
Flan de chocolate em pó preparado (Oetker),Açúcares e doces,TBCA 7.2
Flan de leite caseiro,Açúcares e doces,TBCA 7.2
Flan em pó preparado,Açúcares e doces,TBCA 7.2
Fruta cristalizada,Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com leite integral, leite condensado, creme de leite, leite integral em pó e morango",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com leite integral, leite condensado, leite de coco e coco ralado",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com polpa congelada, água, amido de milho e açúcar",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com polpa congelada, leite integral e leite condensado",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com polpa congelada, leite integral, amido de milho e açúcar",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco concentrado, água, amido de milho e açúcar",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco concentrado, leite integral e leite condensado",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco concentrado, leite integral, amido de milho e açúcar",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco em pó, água, amido de milho e açúcar",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco em pó, leite integral e leite condensado",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco em pó, leite integral, amido de milho e açúcar",Açúcares e doces,TBCA 7.2
"Geladinho (sacolé, dindim) com suco em pó, leite integral, leite condensado, creme de leite e abacaxi",Açúcares e doces,TBCA 7.2
Gelatina em pó preparada,Açúcares e doces,TBCA 7.2
Geleia,Açúcares e doces,TBCA 7.2
Geleia de  morango  (Ritter),Açúcares e doces,TBCA 7.2
Geleia de abacaxi (Ritter),Açúcares e doces,TBCA 7.2
Geleia de framboesa (Ritter),Açúcares e doces,TBCA 7.2
Geleia de goiaba (Ritter),Açúcares e doces,TBCA 7.2
Geleia de laranja (Ritter),Açúcares e doces,TBCA 7.2
Geleia de mocotó natural,Açúcares e doces,TBCA 7.2
Geleia de uva (Ritter),Açúcares e doces,TBCA 7.2
Glacê marrom,Açúcares e doces,TBCA 7.2
Glicose de milho,Açúcares e doces,TBCA 7.2
Goma de mascar com açúcar,Açúcares e doces,TBCA 7.2
Maçã do amor,Açúcares e doces,TBCA 7.2
